Location Code,Name,Street,City,State,Country,Zipcode,Color,Photo URL,Description,,,
839ffdf3451c2cf2b51a4519a76ef115,Andorra la Vella | Trip with Amanda,,Andorra la Vella,Andorra la Vella,Andorra,AD500,red,,"42.505686, 1.518992",,,
59a5188c5d8c53189166affc0e099c0c,Engolasters Lake | Hike with Amanda,,,Encamp,Andorra,,red,,"42.518346, 1.567175",,,
ac7d7812ebe899660292dde3fd9c684e,Encamp | Trip with Amanda,,Encamp,Encamp,Andorra,AD200,red,,"42.535467, 1.583157",,,
6467cebdd601c855399cdbb4223783a7,Montgat | Beach,,Tiana,Catalunya,Spain,8390,red,,"41.468313, 2.28654",,,
205856298d3eeca2a3cef728d288077d,Masnou | Passeio Pais,,Barcelona,Cataluña,Spain,8320,red,,"41.479599, 2.319824",,,
97e129f8be0fe5771af82770f73a2676,Montseny | Retreat with Jossy,,El Vallès Oriental,Catalonia,Spain,,red,,"41.729869, 2.416523",,,
b7bbd9853ba34df65b833267a5bd65dd,Monsteny | Retreat with Jossy 2,,Osona,Catalonia,Spain,8559,red,,"41.802483, 2.347645",,,
690372107b896ee6a2bdea7e13bd6fa7,Mettlach | Trip with parents,,Mettlach,Saarland,Germany,66693,red,,"49.504157, 6.537653",,,
a703126c02694e9f0309f442f2d7ee46,Toledo 1-day Trip,1 Plaza de la Merced,Toledo,Castilla-La Mancha,Spain,45002,red,,"39.860205, -4.027974",,,
16ea69b081c56cf7a62e2747e8c0e36f,Avila | Amiga da Lea,5A Plaza Mercado Chico,Ávila,Castilla y León,Spain,5001,red,,"40.656531, -4.700353",,,
c5da368717d6b4758c2a2dd5d89ef538,La Aldea de San Nicolas de Tolentino | New year com os pais,11 Calle Juan XXIII,La Aldea de San Nicolas de Tolentino,Canarias,Spain,35470,red,//zeemapsimages.s3.amazonaws.com/8faea0d9f1eb3ce3aeed6331b7a8e43c-IMG_20191126_171636_966.jpg,"27.981384, -15.78145",,,
4654193fdc61c4f2936e254c007c44ea,Valle de Los Caidos,,San Lorenzo de El Escorial,Community of Madrid,Spain,28209,red,,"40.641288, -4.154248",,,
5ffb817b8ef8cb70cb652c0ab31e7723,Sofia | Trip to Andre's,"42 bulevard ""Patriarh Evtimiy""",Sofia,Sofia City Province,Bulgaria,1142,red,,"42.68875, 23.322184",,,
92d2900b41313b02306b808bf9d49c63,Pernik | Pagan's Festival,,,,Bulgaria,,red,,"42.605053, 23.033506",,,
eb5e127764ee20dc5e2ab48b9ec3b2c0,Plovdiv | Solo trip,"2 ulitsa ""Sveti Kliment""",Plovdiv,Plovdiv,Bulgaria,4000,red,,"42.150221, 24.744723",,,
824e248021d45b75344ee39c1c6a9813,Torrejon de Ardoz | Parque Europa,57 Calle Hierro,Torrejón de Ardoz,Comunidad de Madrid,Spain,28850,red,,"40.447113, -3.455762",,,
44ec6b1c4c193b51fba94ed78557a1d0,Alcala de Henares,4 Calle Marqués Alonso Martínez,Alcalá de Henares,Comunidad de Madrid,Spain,28805,red,,"40.485885, -3.358031",,,
1fa0f9cfababcee07a1c31e71993f860,Palma | Ita and Jossy Trip,Camí de Son Fangos,Palma,Illes Balears,Spain,,red,,"39.528644, 2.731868",,,
3f53305a7473f146de17468885b15e5b,Hackenberg | Marginot line trip Parents,,Veckring,Grand Est,France,57920,red,,"49.341167, 6.366399",,,
94ccc19e652a223eba4ce6f8b3431c6e,Peniscola,6 Carrer dels Llandells,Peníscola,Comunidad Valenciana,Spain,12598,red,,"40.362201, 0.399529",,,
ce393c8c5df95774b00657343d89aaf5,Malgrat de Mar | Passeio com pais,24 Carrer Emili,Malgrat de Mar,Catalunya,Spain,8380,red,,"41.644107, 2.74341",,,
9a5dd1eb5ade4676cfcc6113d65e055d,Blanes | Costa Brava,41 Passeig Pau Casals,Blanes,Catalunya,Spain,17300,red,,"41.672531, 2.791217",,,
48be667309aba78ce3d8711f9b9472ef,Zurich | Trip to Maurin's,9 Wyssgasse,Zürich,Zürich,Switzerland,8004,red,,"47.373808, 8.52491",,,
e20bc00ede8e9851f9ee05d8aec72c2f,Ibiza | Trip February 2020,139 Carrer d'Aragó,Eivissa,Illes Balears,Spain,7800,red,,"38.907247, 1.421891",,,
27b04d066c1256b7ac7879e97d9d0e93,Formentera | Trip February 2020,8 Passatge Llaüt Verd,San Francisco Javier,Illes Balears,Spain,7860,red,,"38.705213, 1.428822",,,
95578ef5163c5b63156a5909b28dda88,Vall de Nuria | Ski February 2020,,Ribes de Freser,Catalonia,Spain,17534,red,,"42.399577, 2.149713",,,
